CUSTOMER_IDENTIFIER,DATE_LAST_UPDATED,SEX_CODE,INCOME_GROUP_CODE,NUMBER_OF_ACCOUNTS,OCCUPATIONAL_STATUS_CODE,AGE
ID_00a7d65f82a6819e79c29a84e805777f0265308b6554e14befdcc916ba2034e9a7dbe9af9dc03e93d0131e3f22fceda76bbb6503f2a4862c1fdeb8520337d44c,2022-09,1,6,4,7,51
ID_09651edcac6c55a5e401062b0c0ef7bbba3f3e49538023839e3ea1414ba778d929ec76abaefae13bf06055e4bb7e8831cd20a2b3ab644e20d0d744b6d3f1c8e7,2022-09,0,7,10,3,32
ID_17215674e76eb33b47c4dd3ac3392e3e8f1a34b131b551950c5c0d25b5b3b559d17e6ba60c45531766f2d0f35c2b9621d3c07259bdf66f96b0de3500b20c34d6,2022-09,1,7,7,1,41
ID_212860dd16c79ea8eae97cc1fc181e6afd4862fceaf9ea0aa604930d581d33c7d687b6c46ced9c60c2e7638df083ebb932a7e4b834020a8e9740e123081ce9c3,2022-09,0,13,10,1,44
ID_24953f74da44bd0915c4cb78c1d97cbbd66e85bbd9144e22c6c0688cbba0dc1fd9caefd2a4c90742474ea8ef6c40e761182cabfd7dfc78c97e78a451215e31de,2022-08,0,13,6,1,44
ID_26001c3b03488e8b46de4b90af647f5d64a2a3aa25658dc7b671d93696b5ce4576ca366a19bb3e4dad51bc785ee11fe714e047785a7bf399f4cd5ed394354df4,2022-08,0,16,11,1,34
ID_269b31b5537827f461e08b2f608dd8da5c2151de9786d281091377c96b7ae0d728b836bd737aef033fd6af711decfb725a309a375f3b801e9ca96209de05a150,2022-08,0,18,6,1,32
ID_2c35f942e261f671257f84330b2d7886672567bf7d0e91e9132f464d68b079754e53e29b7d607a12faf279beb37c7d7fabcd15ce58f8167094b4b543e1f42494,2022-08,0,14,7,1,25
ID_3487ab56d7c076b411347cba9ef96f90aad161ff28c5e594c9ed9cf6c3ebb306ea881d4a8800da7e4fe038119de8a994d8db06283df4d89ebace4b7bd73ad665,2022-08,0,12,16,1,36
ID_35117048f3c54a66d19af23590d272502e4e0d3b67b3cff8c56bd37aa734c5d5997d5c2e13b77823c03d984e5df558694621091c01a0667d1f1baab8db19a0a8,2022-07,0,14,5,1,32
ID_36d2d7d7754b5ab6840f6e7fe193a11492c1caed066b9a916fce302208437037b26ff5d008cc6a1988a43454e34a2a1843dec843a1ebecef5c4182cf8ca6930e,2022-08,0,14,9,1,38
ID_39de55db5c1dfa4ed0d89513bc870fd2bb676a50ab739f7975b8c8a6a77ba36f4af2ad6b8a6f724e6c1b2b109c0f012f218a37868c3057aefcef7287ca22ab1a,2022-07,0,8,9,1,32
ID_3e1cd11ba31f71e8a48407c261868fea32d66a6c6c27569ac48efd6516270efbead48a6d818fe29db35ae78a8800b759e4d7d562eadb67faa1432dce01b80740,2022-07,1,18,12,1,48
ID_3e67cb9d08fdf8b8be16302024847e5b36c0cc85045688eb52ac5311cb34f9955d40e23c512aa7cff85f5672663fcf134ae2851d03006774f065da1389f1fef2,2022-09,0,9,5,1,35
ID_479677e9b03c92d97b860978ed0f1f776f1abb2f43e01930bad0fa70cc4c9d2b109765498825e56b55c4705e89bef778b7505bae3709d160947b9ccc67083b17,2022-08,0,11,9,1,36
ID_4a134c19fa85ad7b0a4199772c370567742e3f4b545221476270273c221e62e23157bf71f6522a03cb7b5c2232b88ef984390550e1f25606a1606430d2221128,2022-08,0,10,8,1,28
ID_6bae7b76e2b68aceb2303387f28022fccbf8e2b65b0a63f4deff0d962ba992d9f0768c64f8e2d3e9c3f3be018acbcf616cff8cefce79b75b880ba5b35dd06238,2022-08,1,12,5,1,45
ID_7613146d6e5c1dc3d4a2e822e44c4a33f74d11b7ea3ae92e0f55ca04a17877082a91eca2a6a2364a0189bfc06f9815848af6ca5305eec4d21a42b50b4d1be2aa,2022-08,0,12,7,1,47
ID_7990c8cb6df81aad9f625bc1e8043bd8fe3546b8b756b452c22df5a21ef6b7492f8534a236a3c002f3e57b67a11650f0235180c8a7d13a578e3240a48c15d316,2022-07,1,7,14,1,27
ID_7f67de6c7a553e61ce89943e1f08a35e763d4d64ebbc2e0ad362e7df68c7476af2930292e4ef2fd1da110ef683ff325cc50f4f850037e36ffa525c959544dffe,2022-08,0,16,10,1,50
ID_96a5bf06d638a048bb1aaf4ea6d6854b96c2fd92d91f93c1e0d00ada3d996206987b8c5d2b0e80ca651e43edb1c73545570ff2d452274713190fe6a82bf0a648,2022-09,1,11,11,1,43
ID_988d9553c2b8de3434b1046c58bba5cd21037773b0fa42a0bcdf6be03afe8fa15fedc24efd5ed7e0a54b0c21417ec3e2432e52cc5c0bef34179a69344f18fc31,2022-08,0,11,16,1,45
